@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute CLASS {MIN,MAJ}
@data
266.1849971072669,222.95436225718652,MIN
32.075273488467815,19.901879095220167,MIN
203.20436174689223,107.61020312338421,MIN
94.99920049234034,94.91817718892979,MIN
264.3867028180463,185.02358860783443,MIN
77.4699244521516,38.23332901615029,MIN
138.65226552330566,115.64671450060051,MIN
172.69825374606847,129.3953019412981,MIN
118.48225640578818,42.39356689388556,MIN
240.8469385480963,197.22033786278598,MIN
64.37967577851222,36.04755392665835,MIN
223.31766250790756,140.5354896900065,MIN
115.11250125335565,127.84346375555207,MIN
284.5000035790616,217.9488751744567,MIN
177.97971990072597,162.53190080916903,MIN
116.7973788295719,85.11851532471881,MIN
70.45668118638677,68.08918694937617,MIN
239.84418351209274,158.1945983682808,MIN
168.21232684462805,95.16373722827409,MIN
13.235439731225853,15.528250615829151,MIN
187.84769985508711,98.44239986251202,MIN
79.6425386005352,85.7503739280576,MIN
249.03004092624118,175.85578534696222,MIN
196.66904623168367,167.11268498899443,MIN
135.4867051605296,89.69929950454421,MIN
294.42469188992493,194.18723526789236,MIN
182.67965041343396,145.96152307482646,MIN
126.72206714043523,61.35687541815447,MIN
249.08674928274334,216.18364638705492,MIN
72.61948651315929,55.01086245092727,MIN
140.7681713151871,122.83589837241514,MIN
310.15567364089304,212.94130979131975,MIN
159.13988614348395,158.15827232977801,MIN
97.9575450723299,80.74488684532778,MIN
272.56980519619117,163.65903609201067,MIN
-118.37619697742275,299.5150822546233,MIN
-19.62315371216868,81.8796128178562,MIN
-69.88254694300731,265.32716864171266,MIN
-91.24894667979552,158.49589322700925,MIN
-124.6006685098314,347.4370845064204,MIN
-93.80384140400163,195.1240993478014,MIN
-39.08571983717754,113.01418348309375,MIN
-38.49713877170315,63.26096941277844,MIN
-71.84886060173905,252.20216069218955,MIN
-34.038410435717694,164.59860937192724,MIN
-22.704149454896786,43.42019487854583,MIN
-47.60203558453133,235.10820388573427,MIN
-68.9684353213195,128.27692847103083,MIN
-102.3201571513554,317.21811975044193,MIN
-103.61020624152577,266.85450174062055,MIN
-48.892084674701664,184.7445858759129,MIN
-71.30412128780817,196.1916446168657,MIN
-8.132164020582692,116.82854647993533,MIN
-117.5684071542309,281.04837820935063,MIN
-18.815363888976805,63.41290877258359,MIN
-49.34914048554559,253.2697059612538,MIN
-70.71554022233377,146.43843054655036,MIN
-104.06726205236967,335.3796218259615,MIN
-0.2044293387033207,44.48774014761011,MIN
