@relation GENERATED
@attribute X1 numeric
@attribute X2 numeric
@attribute D {1,2}
@data
4.30270202245411,5.406052809819715,1
6.188320105618237,6.348861851401779,1
4.725001905662743,5.514083012500993,1
4.489299645267226,4.335571710523415,1
3.7167200139708134,4.40104456063328,1
5.602338097134941,5.343853602215344,1
5.05236615621207,4.479611980765118,1
3.697078158937854,4.067133025072966,1
5.739831082365658,4.852807226391352,1
4.089915259597047,5.088509486786868,1
5.975533342761174,6.0313185283689315,1
5.360088551728438,5.93965653821512,1
5.124386291332922,4.761145236237541,1
4.942699132278046,5.207997438237372,1
4.864131712146206,3.872351295996116,1
5.335536232937239,6.229373899951274,1
4.039173800761901,3.990202426193874,1
6.099386150885669,4.758417200816296,1
4.449470328117059,4.994119461211811,1
6.335088411281185,5.936928502793876,1
4.194126212688583,3.4816966236739186,1
4.665530733479615,5.838719227629077,1
4.429828473084099,4.660207925651498,1
6.472581396511902,5.445882126969884,1
3.7620054019634708,4.620924215585578,1
5.647623485127597,5.563733257167642,1
5.464299504819974,4.33284367510217,1
3.8438464646008024,3.6551996764650623,1
5.415194867237575,4.91227839857448,1
5.65089712763309,6.090789700552059,1
4.511669535721431,3.6944833865309814,1
4.9830740565124625,6.05150599048614,1
4.747371796116947,4.872994688508561,1
3.6015969191943,4.251002612464839,1
5.487215002358427,5.193811654046901,1
4.937243061435557,4.329570032596677,1
4.112285150051251,4.447421162794435,1
6.155038073479055,5.233095364112821,1
4.5051222507104445,5.468797624508336,1
6.390740333874572,6.4116066660904,1
4.765240428126098,5.274970707828922,1
4.529538167730581,4.096459405851343,1
6.100886570367354,5.353538127960761,1
5.275928658983048,5.471389258158519,1
5.19736123885121,4.135743115917262,1
5.668765759642241,6.492765719872421,1
3.842073241576993,3.72326416022511,1
5.780069604829013,4.61369492171928,1
4.130153782060402,4.849397182114797,1
6.0157718652245284,5.7922062236968594,1
-4.357736894314614,3.2332152494174013,1
-5.536248196292193,3.4689175098129175,1
-5.470775346182328,4.241497141109331,1
-4.527966304600264,2.355879057945204,1
-5.392207926050489,2.9058509988680745,1
-6.0698519246875975,4.526304039087245,1
-5.28417772336921,2.4835511156594414,1
-5.048475462973695,4.133466938428052,1
-4.105666421391632,2.2478488552639257,1
-4.197328411545444,2.8632936462966616,1
-5.375839713523022,3.0989959066921777,1
-4.1187609914136045,1.5276475040554054,1
