@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute LABEL {MIN-SAFE,MIN-BORDER,MIN-RARE,MIN-OUTLIER,MIN-DEFAULT,MAJ}

@data
332.7062027528882,-45.81609540704148,MIN-BORDER
65.8312027528882,-76.92720651815259,MIN-BORDER
205.8312027528882,109.73946014851407,MIN-BORDER
275.8312027528882,-108.03831762926372,MIN-BORDER
170.8312027528882,-118.40868799963407,MIN-BORDER
310.8312027528882,68.25797866703259,MIN-BORDER
83.3312027528882,-25.075354666300743,MIN-BORDER
153.3312027528882,130.4802008892548,MIN-BORDER
328.3312027528882,-128.77905837000446,MIN-BORDER
153.1242398545146,-0.35510211059935903,MIN-SAFE
253.1242398545146,-99.39488263186136,MIN-SAFE
128.1242398545146,33.93845070147199,MIN-SAFE
228.1242398545146,-32.728215965194686,MIN-SAFE
178.1242398545146,-54.950438187416914,MIN-SAFE
278.1242398545146,78.38289514591644,MIN-SAFE
115.6242398545146,11.716228479249779,MIN-SAFE
215.6242398545146,-77.17266040963914,MIN-SAFE
165.6242398545146,56.1606729236942,MIN-SAFE
265.6242398545146,-10.505993742972464,MIN-SAFE
140.6242398545146,-84.58006781704654,MIN-SAFE
240.6242398545146,48.7532655162868,MIN-SAFE
190.6242398545146,-17.91340115037987,MIN-SAFE
290.6242398545146,-40.13562337260209,MIN-SAFE
109.3742398545146,93.19770996073125,MIN-SAFE
209.3742398545146,26.531043294064595,MIN-SAFE
159.3742398545146,-62.35784559482431,MIN-SAFE
259.3742398545146,70.97548773850902,MIN-SAFE
134.3742398545146,4.308821071842361,MIN-SAFE
234.3742398545146,-91.98747522445395,MIN-SAFE
184.3742398545146,41.345858108879405,MIN-SAFE
284.3742398545146,-25.320808557787277,MIN-SAFE
121.8742398545146,-47.5430307800095,MIN-SAFE
221.8742398545146,85.79030255332383,MIN-SAFE
171.8742398545146,19.123635886657176,MIN-SAFE
271.8742398545146,-69.76525300223173,MIN-SAFE
146.8742398545146,63.5680803311016,MIN-SAFE
