@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute CLASS {MIN,MAJ}
@data
387.5078088025474,297.2050529080255,MIN
460.5028929198865,301.2252692140256,MIN
489.82842893662547,243.98304052499697,MIN
422.85947866009764,247.1444908732373,MIN
468.6174270220953,274.0193777458699,MIN
443.8314136312466,327.4524946737931,MIN
458.1314595365208,233.86537584559198,MIN
408.5594327548235,340.7316097014384,MIN
433.34544614567216,287.2984927735152,MIN
390.56072021351656,282.40516273157425,MIN
463.5558043308557,286.4253790375744,MIN
461.10468196636293,255.84693267628364,MIN
412.2141332122691,280.5533829872452,MIN
498.8277852072789,273.14626400992904,MIN
401.0466876990911,322.5591646318522,MIN
474.04177181643024,326.5793809378523,MIN
416.27258812665457,309.97433896964,MIN
441.05860151750323,256.5412220417167,MIN
486.81654987950094,283.41610891434937,MIN
437.926001125407,308.1225592253109,MIN
476.3305823939264,243.26210701407143,MIN
426.7585556122291,350.1283408699179,MIN
415.3877659582099,253.60522401655214,MIN
492.92237270143926,253.81632856144685,MIN
395.14127519325143,303.22922918336997,MIN
468.1363593105906,307.2494454893701,MIN
441.5807015828526,247.9443325111177,MIN
416.79468819200395,301.3774494390409,MIN
436.43938991048594,297.1317808099651,MIN
479.3834938048956,228.4622168376202,MIN
429.81146702319825,335.3284506934666,MIN
430.4929450508017,253.1686671485817,MIN
476.2508934127994,280.0435540212144,MIN
378.4697959046116,329.4564546431375,MIN
451.4648800219507,333.4766709491376,MIN
404.1406314639049,332.392452668302,MIN
428.9266448547536,278.95933574037883,MIN
399.70736081285077,287.1596350865502,MIN
472.70244493018987,291.17985139255035,MIN
470.2513225656971,260.6014050312597,MIN
400.2693053687636,260.17202205237976,MIN
288.7357214547448,292.21150003464993,MIN
300.4844782604029,286.87390601721484,MIN
299.43079994200525,227.35807676064346,MIN
318.53301395216494,322.11856359114944,MIN
265.976424621913,244.62555726746652,MIN
329.690139237154,275.674218431051,MIN
262.78138859696963,310.2091794446971,MIN
339.2412462422339,323.054461846304,MIN
290.6572012745673,316.1638715179233,MIN
281.1060942694874,268.7836281026703,MIN
256.8572666933009,272.90422394806507,MIN
333.3171243385652,285.74950634967195,MIN
311.0198743034621,256.57264169639654,MIN
245.31138723949078,251.2555500218972,MIN
328.1443163997667,254.99914304251521,MIN
261.2355657595823,289.53410405616137,MIN
337.69542340484657,302.37938645776825,MIN
306.3654052564249,316.61297050426174,MIN
296.814298251345,269.23272708900873,MIN
360.5280128665861,300.2813882525931,MIN
305.57089638390784,302.4924873052012,MIN
302.3928608938396,246.01055450895944,MIN
268.93848557374736,263.27803501578256,MIN
