@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute CLASS {MIN,MAJ}
@data
429.9196005240083,405.4058878187576,MIN
369.9196005240083,352.0725544854243,MIN
339.9196005240083,399.4799618928317,MIN
459.9196005240083,346.14662855949837,MIN
399.9196005240083,328.3688507817206,MIN
324.9196005240083,381.7021841150539,MIN
444.9196005240083,310.5910730039428,MIN
384.9196005240083,417.25773967060945,MIN
504.9196005240083,363.92440633727614,MIN
474.9196005240083,393.55403596690576,MIN
414.9196005240083,340.22070263357244,MIN
426.1696005240083,375.776258189128,MIN
366.1696005240083,304.6651470780169,MIN
486.1696005240083,411.3318137446835,MIN
336.1696005240083,357.9984804113502,MIN
456.1696005240083,284.9120606582638,MIN
396.1696005240083,391.5787273249304,MIN
516.1696005240083,338.24539399159715,MIN
321.1696005240083,320.4676162138194,MIN
441.1696005240083,427.134282880486,MIN
381.1696005240083,373.80094954715264,MIN
501.1696005240083,302.68983843604155,MIN
351.1696005240083,409.3565051027082,MIN
471.1696005240083,356.0231717693749,MIN
411.1696005240083,296.76391251011563,MIN
313.6696005240083,350.097245843449,MIN
433.6696005240083,332.31946806567123,MIN
493.6696005240083,385.6528013990045,MIN
343.6696005240083,314.5416902878934,MIN
463.6696005240083,421.20835695456003,MIN
403.6696005240083,367.8750236212267,MIN
328.6696005240083,397.50465325085634,MIN
448.6696005240083,344.1713199175231,MIN
388.6696005240083,326.39354213974525,MIN
358.6696005240083,379.72687547307856,MIN
478.6696005240083,308.6157643619675,MIN
418.6696005240083,415.2824310286341,MIN
538.6696005240083,361.9490976953008,MIN
421.4821005240083,389.6034186829551,MIN
361.4821005240083,336.2700853496218,MIN
481.4821005240083,318.49230757184404,MIN
451.4821005240083,371.82564090517735,MIN
391.4821005240083,300.71452979406627,MIN
511.4821005240083,407.3811964607329,MIN
316.4821005240083,354.0478631273996,MIN
436.4821005240083,294.78860386814034,MIN
376.4821005240083,401.45527053480697,MIN
496.4821005240083,348.12193720147366,MIN
