@relation GENERATED
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute LABEL {1-SAFE,1-BORDER,1-RARE,1-OUTLIER,1-DEFAULT,2}

@data
4.438299817001525,6.506632010313825,4.538913603584,6.433340749086303,1-BORDER
5.58407469392417,4.300196961611359,5.258913603584,7.6578305450046695,1-BORDER
5.997781265555883,4.0853641721883625,3.5789136035839997,3.372116259290384,1-BORDER
4.955307996584357,4.067177269380067,4.298913603583999,3.791941332176682,1-BORDER
5.122263764364515,5.491211759269641,2.618913603584,5.506227046462396,1-BORDER
5.554384575089627,7.180411292104171,3.818913603584,5.016431128095049,1-BORDER
7.014429132539627,4.65970656287435,5.018913603584,4.159288270952192,1-BORDER
5.624767888957733,5.7842027635112885,3.9437136035839995,7.098063781156274,1-BORDER
6.092898767243271,4.78574179933584,5.863713603584001,4.893982148503213,1-BORDER
5.4820916364266505,4.733636322790073,5.383713603584001,7.832757658707294,1-BORDER
4.42543625795007,3.8631045967383013,4.6241050733772795,4.132946640025434,1-SAFE
5.083438401554218,5.149646101397159,5.104105073377281,4.377844599209108,1-SAFE
5.528653782301303,6.118644283023168,5.584105073377281,3.8064160277805366,1-SAFE
4.2322913501259665,3.879472809265768,3.98410507337728,5.520701742066251,1-SAFE
4.153723929994128,5.372253791770701,4.78410507337728,5.194171129821353,1-SAFE
4.841188856147716,5.745449037396934,4.464105073377279,6.337028272678495,1-SAFE
5.840741034491662,5.453003640239535,5.7441050733772805,4.867640517576454,1-SAFE
3.9305706325363365,4.799911960393627,5.520105073377281,5.4390690890050255,1-SAFE
4.807906824008533,4.629682550107977,3.60010507337728,4.541109905331557,1-SAFE
4.120441897854946,4.256487304481743,5.680105073377281,6.453646348480245,1-SAFE
4.565657278602031,5.225485486107753,6.480105073377281,5.882217777051673,1-SAFE
4.280850380624117,4.6264089076024835,4.560105073377279,4.984258593378204,1-SAFE
3.613027309503489,4.587125197536564,5.360105073377281,4.412830021949633,1-SAFE
5.705976084682189,4.96905015651078,5.040105073377281,5.229156552561877,1-SAFE
5.9416783450777055,6.147561458488358,5.456105073377281,4.657727981133306,1-SAFE
5.038153013561561,4.9297664464448605,4.6561050733772795,5.800585123990448,1-SAFE
5.123676924017572,4.910533796725088,4.33610507337728,6.616911654602694,1-SAFE
5.791499995138201,4.949817506791007,5.616105073377281,5.474054511745551,1-SAFE
4.88142737861107,5.506336732724864,3.69610507337728,4.576095328072082,1-SAFE
-3.2432647610538714,2.4148245543558264,3.3257144795136,2.620157458721024,1-BORDER
-5.0306735690532,1.688075918136319,4.045714479513601,1.763014601578167,1-BORDER
-5.727959422723268,3.642440493915804,4.765714479513601,2.9875043974965343,1-BORDER
-4.486157698972819,1.7022617023267899,3.5657144795136,4.7017901117822465,1-BORDER
-3.466418058511663,2.987166385732901,1.3097144795136004,1.64056562198633,1-BORDER
-5.4698872718735485,3.105017515930658,4.9097144795136005,4.211994193414901,1-BORDER
-6.363591675873213,2.7416431978209044,2.0297144795135997,2.00791256076184,1-BORDER
-5.95111272018106,4.214782325292878,3.2297144795136,1.1507697036189832,1-BORDER
-4.366669747522314,3.677904954391982,3.9497144795136006,0.6609737852516369,1-BORDER
